"id_base","name_base","id_company","number_vehicles"
B02241,MARU & KITANO INC.,12,61
B02248,HYBRID LIMO EXPRESS INC.,12,75
B02249,LA RAZA CAR SERVICE INC.,12,31
B02252,ASIANA LIMOUSINE INC.,12,121
B02265,COUNTY CAR SERVICE INC.,12,90
B02285,VALERA GLOBAL INC.,12,151
B02287,ROAD NEW YORK ENTERPRISES INC.,12,61
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,12,24
B02301,DOUBLE A CAR SERVICE INC.,12,91
B02306,ACCUELIMO LUXURY LLC,12,91
B02308,NORWOOD CAR & LIMO INC.,12,52
B02320,SWIFT 75 CAR & LIMO SVC. INC.,12,30
B02342,QUEST INTERNATIONAL LIMOUSINE INC.,12,89
B02377,ECONOMY CAR SERVICE LLC,12,44
B02378,WELLCARE CAR SERVICE INC.,12,33
B02389,EMBARQUE N.Y. INC.,12,122
B02397,CHICO EXPRESS CORP. 2,12,91
B02410,POLO LIMOUSINE CORP.,12,61
B02416,NEW STORM CAR SERVICE INC.,12,30
B02423,"77 EXPRESS CAR & LIMO SERVICE INC.",12,92
B02435,TEINETCO INC,12,61
B02436,FEDERAL TRANSIT NY INC.,12,38
B02440,MLL LIMOUSINE SERVICES INC.,12,122
B02447,NEW HAMPTON CAR & LIMO INC.,12,121
B02453,MCW CAR & LIMO INC.,12,31
B02460,CABOT LIMO NY CORP.,12,31
B02462,TIFFANYS CAR SERVICE INC.,12,30
B02468,GROUNDLINK HOLDINGS LLC,12,153
B02469,FUTURE LIMO VIP CORP,12,29
B02470,CRI LIMO INC.,12,121
B02471,TSU GLOBAL SERVICES INC,12,61
B02472,ECKFORD LITE CAR & LIMO INC.,12,31
B02475,ECKFORD LITE CAR & LIMO INC.,12,151
B02491,CALL THREES LLC,12,122
B02510,"",4,45
B02511,DEKALB CAR SERVICE CORP.,12,92
B02512,"",1,57
B02513,INTABORO PREMIERE TRANSP. SVCS. INC.,12,58
B02515,OLS LIMOUSINE SERVICE INC.,12,4
B02517,LOS PAISANOS LUXURY C/S INC.,12,91
B02524,ESQ LIMOUSINE LLC,12,52
B02532,COZY RIDE LIMOUSINE INC,12,115
B02541,HIBA CAR & LIMO SVC INC.,12,121
B02542,BAILEY LUXURY & LIMOUSINE CORP.,12,47
B02543,GTA CAR & LIMO SERVICE LLC,12,61
B02547,NICK CAR & LIMO SERVICE INC.,12,50
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,12,55
B02555,LTM GLOBAL CAR SERVICE,12,57
B02564,LAGUARDIA LUXURY CAR & LIMO,12,58
B02566,GSL LIMOUSINES CORP.,12,59
B02569,GOGREENRIDE INC.,12,59
B02573,SUNSET PARK CAR SERVICE INC,12,61
B02574,MTC LIMOUSINE & CORPORATE COACHINC.,12,92
B02590,LUXOR LIMO INC,12,122
B02598,"",1,24
B02599,CMS LIMO INC.,12,31
B02610,WC TRANSPORTATION SERVICE GROUP INC.,12,31
B02611,SS LIMOUSINE SERVICE INC,12,58
B02617,"",1,36
B02629,CARLUX LIMO INC.,12,56
B02631,CONFIDENTIAL HOLDINGS LLC,12,60
B02633,USHLS CORP,12,54
B02637,ROOSEVELT CAR & LIMO INC.,12,91
B02638,EAGER LIMO SERVICE INC.,12,5
B02644,CCK EXPRESS INC.,12,24
B02651,SAROS TRANSPORATION GROUP INC.,12,30
B02653,NEW COLLEGE CAR SVCE INC,12,180
B02657,MALCOLM LIMO EXPRESS CORP.,12,4
B02658,ASCONA CAR SERVICE INC.,12,20
B02661,MIC-LOU CAR SERVICES_LLC,12,92
B02664,CORPORATE CAR LTD.,12,59
B02666,D.L.C. LIMOUSINE SERVICE INC.,12,153
B02667,LEON LUXURY LIMO INC,12,60
B02673,CONCORDE LIMOUSINE INC,12,71
B02674,ELAL CAR LIMO SERVICE LLC,12,52
B02675,FRIELECH CAR & LIMO SERVICE INC,12,77
B02681,DIRECT CAR & LIMO SERVICE INC.,12,115
B02682,"",1,32
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,12,59
B02689,OCS LIMO CORP.,12,47
B02694,CITY LIMOUSINE TRANSPORTATION INC.,12,60
B02695,SEE USA TOURS INC.,12,61
B02705,GROUND JET EXECUTIVE TRANSPORTATION LLC,12,57
B02710,PARADA CAR SERVICE,12,56
B02711,"204 CAR & LIMO INC",12,53
B02712,AVE O CAR SERVICE INC,12,61
B02715,GROUNDANYWHERE LLC,12,120
B02716,GEMINI GLOBAL TRANSPORTATIONLLC.,12,92
B02718,CHURCHILL EXECUTIVE CARS INC,12,46
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE CORP.",12,30
B02723,CHARLIE BLACK CAR INC,12,133
B02725,KIRIN TRANSPORTATION INC,12,61
B02726,COMPADRE CAR SERVICE INC.,12,61
B02727,OSCAR LIMOUSINE INC,12,57
B02731,EMES OF BOROPARK CAR SERVICE INC,12,49
B02751,RELIANCE GROUP INC,12,86
B02753,DADDY LIMO INC,12,61
B02754,TIGER CAR SERVICE INC.,12,55
B02759,LAPUMA TRANSPORTATION GROUPLLC,12,4
B02764,"",1,29
B02782,NEW APP CAR & LIMO INC,12,30
B02783,PREFERRED CARE TRANSPORTATION SERVICEINC,12,60
B02794,ASAP LUXE INC,12,30
B02808,INVASORA EXPRESS CAR SERVICE CORP.,12,91
B02821,E5 TRANSPORTATION SOLUTIONS INC.,12,44
